source_file	parsed_records	full_records	noisy_records	redirect_records	mixed_records	html_blocks	image_links	coarse_doc_signal	eligibility_status	needs_segment_review	notes
第1册1.md	1312	792	330	188	2	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第1册2.md	2678	1752	558	365	3	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第1册3.md	2642	1683	598	356	5	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第1册4.md	2385	1519	504	360	2	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第1册5.md	2634	1780	587	263	4	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第1册6.md	117	85	21	10	1	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第2册1.md	1337	749	395	192	1	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第2册2.md	2636	1553	754	325	4	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第2册3.md	2648	1587	737	320	4	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第2册4.md	2695	1691	678	314	12	1	0	formula_entry_heavy_with_html_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第2册5.md	2678	1605	654	412	7	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第2册6.md	82	55	14	13	0	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第3册1.md	1026	923	0	102	1	0	0	formula_entry_heavy	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第3册2.md	2359	2057	3	299	0	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第3册3.md	2282	2175	0	107	0	0	0	formula_entry_heavy	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第3册4.md	2333	1988	0	343	2	0	0	formula_entry_heavy	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第3册5.md	2241	1928	0	310	3	0	0	formula_entry_heavy	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第3册6.md	2089	1790	1	298	0	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第4册1.md	1216	685	352	175	4	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第4册2.md	2842	1500	936	387	19	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第4册3.md	2793	1611	852	324	6	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第4册4.md	2642	1470	833	331	8	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第4册5.md	1904	1041	624	235	4	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第5册1.md	1217	786	248	179	4	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第5册2.md	2671	1806	546	303	16	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第5册3.md	2603	1631	633	321	18	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第5册4.md	2874	1925	606	329	14	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第5册5.md	2839	1971	511	346	11	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第5册6.md	311	191	85	34	1	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第6册1.md	1347	825	333	179	10	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第6册2.md	2589	1677	610	294	8	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第6册3.md	2542	1559	642	329	12	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第6册4.md	2702	1734	524	433	11	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第6册5.md	2536	1632	606	287	11	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第6册6.md	985	623	262	99	1	0	1	formula_entry_heavy_with_media_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第7册1.md	1200	680	396	120	4	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
第7册2.md	2752	1608	825	306	13	0	0	formula_entry_heavy_with_noise	needs_segment_level_labeling	yes	bootstrap_file_level_registry_with_parse_counts
