task_id	model_id	split	field	slice_key	slice_value	n_items	n_true	n_pred	precision	recall	f1	tp	fp	fn
field_extraction_value	field_value_relaxed_heading_v0	train	主治	noise_flags	(none)	38018	34851	34851	1.0000	1.0000	1.0000	34851	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	功用	noise_flags	(none)	38018	6613	6613	1.0000	1.0000	1.0000	6613	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	用法	noise_flags	(none)	38018	35355	35355	1.0000	1.0000	1.0000	35355	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	组成	noise_flags	(none)	38018	37532	37532	1.0000	1.0000	1.0000	37532	0	0
field_extraction_value	field_value_strict_heading_v0	train	主治	noise_flags	(none)	38018	34851	33032	0.9999	0.9472	0.9729	33012	3	1839
field_extraction_value	field_value_strict_heading_v0	train	功用	noise_flags	(none)	38018	6613	6323	1.0000	0.9537	0.9763	6307	0	306
field_extraction_value	field_value_strict_heading_v0	train	用法	noise_flags	(none)	38018	35355	32254	0.9999	0.9080	0.9518	32104	3	3251
field_extraction_value	field_value_strict_heading_v0	train	组成	noise_flags	(none)	38018	37532	35917	0.9999	0.9060	0.9506	34003	2	3529
field_extraction_value	field_value_relaxed_heading_v0	train	主治	noise_flags	markdown_field_heading	13170	12281	12281	1.0000	1.0000	1.0000	12281	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	功用	noise_flags	markdown_field_heading	13170	4062	4062	1.0000	1.0000	1.0000	4062	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	用法	noise_flags	markdown_field_heading	13170	12517	12517	1.0000	1.0000	1.0000	12517	0	0
field_extraction_value	field_value_relaxed_heading_v0	train	组成	noise_flags	markdown_field_heading	13170	13022	13022	1.0000	1.0000	1.0000	13022	0	0
field_extraction_value	field_value_strict_heading_v0	train	主治	noise_flags	markdown_field_heading	13170	12281	5943	1.0000	0.4258	0.5973	5229	0	7052
field_extraction_value	field_value_strict_heading_v0	train	功用	noise_flags	markdown_field_heading	13170	4062	713	1.0000	0.1356	0.2389	551	0	3511
field_extraction_value	field_value_strict_heading_v0	train	用法	noise_flags	markdown_field_heading	13170	12517	10813	1.0000	0.1633	0.2807	2044	0	10473
field_extraction_value	field_value_strict_heading_v0	train	组成	noise_flags	markdown_field_heading	13170	13022	11526	1.0000	0.7106	0.8308	9253	0	3769
field_extraction_value	field_value_relaxed_heading_v0	dev	主治	noise_flags	(none)	13152	12009	12009	1.0000	1.0000	1.0000	12009	0	0
